time,tg
1965-05-16,11.644447956085205
1965-06-15,14.074269914627076
1965-07-16,14.02516736984253
1965-08-16,14.97854474067688
1965-09-15,12.298969888687134
1965-10-16,10.507451009750366
1965-11-15,4.311883254051208
1965-12-16,4.531593537330627
1966-01-16,2.411619255542755
1966-02-14,6.275371260643006
1966-03-16,6.240664296150207
1966-04-15,7.543903083801269
1966-05-16,10.863902750015258
1966-06-15,15.442466411590576
1966-07-16,15.0073801612854
1966-08-16,14.890106134414673
1966-09-15,13.891656360626222
1966-10-16,10.326825513839722
1966-11-15,4.960539817810059
1966-12-16,5.4427676773071285
1967-01-16,4.406587076187134
1967-02-14,5.352550053596497
1967-03-16,7.2177417182922365
1967-04-15,7.640829858779907
1967-05-16,10.790470800399781
1967-06-15,14.06528995513916
1967-07-16,17.321254806518553
1967-08-16,15.924993124008179
1967-09-15,13.830939445495606
1967-10-16,10.928180465698242
1967-11-15,5.112476477622986
1967-12-16,3.2736128163337708
1968-01-16,3.5774741196632385
1968-02-15,1.7843309926986695
1968-03-16,6.372270851135254
1968-04-15,7.978809628486633
1968-05-16,9.858164110183715
1968-06-15,15.160533123016357
1968-07-16,14.973302783966064
1968-08-16,15.361873664855956
1968-09-15,14.00528649330139
1968-10-16,12.763109397888183
1968-11-15,6.2851430749893185
1968-12-16,2.338616044521332
1969-01-16,5.5854708862304685
1969-02-14,0.8839785569906234
1969-03-16,3.788257963657379
1969-04-15,7.711986484527588
1969-05-16,11.601838483810425
1969-06-15,13.871013097763061
1969-07-16,17.2759188079834
1969-08-16,16.47632822036743
1969-09-15,13.722459878921509
1969-10-16,12.766470584869385
1969-11-15,5.34782991886139
1969-12-16,2.8253257346153258
1970-01-16,3.847396681308746
1970-02-14,3.0362927985191344
1970-03-16,3.564993486404419
1970-04-15,6.957846531867981
1970-05-16,13.092757692337036
1970-06-15,16.404289531707764
1970-07-16,15.497393102645875
1970-08-16,16.040473890304565
1970-09-15,14.744289503097534
1970-10-16,10.642131700515748
1970-11-15,7.940853056907653
1970-12-16,3.6834257507324217
1971-01-16,4.169903063774109
1971-02-14,4.0024928069114685
1971-03-16,4.718996629714966
1971-04-15,7.5295698356628415
1971-05-16,11.648199739456176
1971-06-15,12.548292989730834
1971-07-16,17.448715839385986
1971-08-16,16.02074179649353
1971-09-15,14.171766366958618
1971-10-16,11.115444822311401
1971-11-15,5.5306733703613284
1971-12-16,6.024109535217285
1972-01-16,3.7218289399147033
1972-02-15,4.257658433914185
1972-03-16,6.771864376068115
1972-04-15,8.234023180007934
1972-05-16,10.585390195846557
1972-06-15,11.91799298286438
1972-07-16,15.752531824111939
1972-08-16,15.416867418289184
1972-09-15,11.69579312324524
1972-10-16,10.518264379501343
1972-11-15,5.990219883918762
1972-12-16,5.546299891471863
1973-01-16,3.900206308364868
1973-02-14,3.8172678089141847
1973-03-16,5.728377385139465
1973-04-15,7.257306537628174
1973-05-16,11.503664512634277
1973-06-15,14.956949548721314
1973-07-16,15.675912561416625
1973-08-16,16.95379337310791
1973-09-15,14.620403127670288
1973-10-16,8.613877439498902
1973-11-15,5.723033242225647
1973-12-16,4.689851431846619
1974-01-16,5.951574110984803
1974-02-14,5.263271403312683
1974-03-16,5.237470870018005
1974-04-15,7.862703270912171
1974-05-16,10.830144672393798
1974-06-15,13.924766283035279
1974-07-16,15.441290140151978
1974-08-16,15.204109363555908
1974-09-15,12.234126510620117
1974-10-16,7.366586866378785
1974-11-15,6.912226505279541
1974-12-16,7.675532035827636
1975-01-16,6.638970789909362
1975-02-14,4.435310688018799
1975-03-16,4.680687108039856
1975-04-15,8.409426794052123
1975-05-16,9.910573930740357
1975-06-15,14.730446100234985
1975-07-16,17.95234161376953
1975-08-16,18.92067995071411
1975-09-15,13.69091962814331
1975-10-16,9.815035228729249
1975-11-15,5.674966583251953
1975-12-16,4.1042450070381165
1976-01-16,5.361696548461914
1976-02-15,4.4611448097229
1976-03-16,4.7322515106201175
1976-04-15,7.921539831161499
1976-05-16,12.50885768890381
1976-06-15,17.80879623413086
1976-07-16,18.980767421722412
1976-08-16,17.450009155273438
1976-09-15,13.656039743423461
1976-10-16,10.758348121643067
1976-11-15,5.833026657104492
1976-12-16,1.4428741610050202
1977-01-16,2.5641160678863524
1977-02-14,5.621867842674256
1977-03-16,6.883819108009338
1977-04-15,7.151129727363586
1977-05-16,10.4339608669281
1977-06-15,11.9208833694458
1977-07-16,15.915957860946655
1977-08-16,15.248228750228883
1977-09-15,13.349929780960084
1977-10-16,11.525977210998535
1977-11-15,6.194583253860474
1977-12-16,5.96197093963623
1978-01-16,2.9961387133598327
1978-02-14,2.495160677433014
1978-03-16,6.639277296066284
1978-04-15,6.236589794158935
1978-05-16,11.236367654800414
1978-06-15,13.801819658279419
1978-07-16,15.265986852645874
1978-08-16,15.31760627746582
1978-09-15,14.243999652862549
1978-10-16,11.66712851524353
1978-11-15,7.8052298450469975
1978-12-16,3.9414353656768797
1979-01-16,-0.6979451376199722
1979-02-14,1.0745142722129821
1979-03-16,4.750954837799072
1979-04-15,8.021976637840272
1979-05-16,10.286699542999267
1979-06-15,14.076866235733032
1979-07-16,16.90480947494507
1979-08-16,15.3021644115448
1979-09-15,13.425029706954955
1979-10-16,11.273841590881348
1979-11-15,6.56384310722351
1979-12-16,5.508999743461609
1980-01-16,1.9856257605552674
1980-02-15,5.935734391212463
1980-03-16,4.826064562797546
1980-04-15,8.628716421127319
1980-05-16,10.892777338027955
1980-06-15,14.091119585037232
1980-07-16,14.763554468154908
1980-08-16,16.422928676605224
1980-09-15,15.160256214141846
1980-10-16,8.908164329528809
1980-11-15,6.1692398738861085
1980-12-16,5.103367643356323
1981-01-16,4.554270796775818
1981-02-14,2.612682044506073
1981-03-16,8.376528902053833
1981-04-15,7.756729917526245
1981-05-16,11.394967346191406
1981-06-15,13.56185983657837
1981-07-16,16.04045111656189
1981-08-16,16.64438013076782
1981-09-15,14.778432989120484
1981-10-16,8.275531940460205
1981-11-15,7.0572031259536745
1981-12-16,0.10001612707972526
